OBJECTID;DFIRM_ID;FLD_AR_ID;DUAL_ZONE;SOURCE_CIT;ShapeSTArea;ShapeSTLength
3;06037C;06037C_431; ;06037C_FIRM1;4.33018794865347e-06;0.021759982188113
7;06037C;06037C_435; ;06037C_FIRM1;3.79860239263508e-07;0.00869048967665297
8;06037C;06037C_436; ;06037C_STUDY1;1.45059630085598e-07;0.00465449180175651
9;06037C;06037C_437; ;06037C_FIRM1;1.69498389368528e-06;0.00789929881652266
11;06037C;06037C_441; ;06037C_FIRM1;1.38393261295278e-08;0.000625714510870136
15;06037C;06037C_445; ;06037C_FIRM1;2.02380624614307e-06;0.0142360318481415
17;06037C;06037C_447; ;06037C_STUDY1;1.24843870707991e-05;0.0158775026202899
19;06037C;06037C_439; ;06037C_FIRM1;1.35783823225211e-05;0.0207448603422242
21;06037C;06037C_424; ;06037C_FIRM1;9.39012352318969e-08;0.00357763161518373
23;06037C;06037C_426; ;06037C_FIRM1;5.49215428691241e-07;0.00835065125936425
24;06037C;06037C_427; ;06037C_FIRM1;5.33619368070504e-06;0.0135767919066674
25;06037C;06037C_428; ;06037C_STUDY1;1.4699708117405e-09;0.000332792374764912
29;06037C;06037C_450; ;06037C_FIRM1;3.50632944901008e-08;0.000789931396166058
30;06037C;06037C_451; ;06037C_FIRM1;1.69456802723289e-06;0.00522625221932249
33;06037C;06037C_454; ;06037C_FIRM1;1.70427938428475e-07;0.00180508246104926
35;06037C;06037C_456; ;06037C_FIRM1;1.22903702504118e-06;0.00451316353216602
37;06037C;06037C_962; ;06037C_FIRM1;5.22620666743023e-08;0.000914213008165394
42;06037C;06037C_967; ;06037C_FIRM1;1.06551851786207e-08;0.000695585564582009
44;06037C;06037C_969; ;06037C_FIRM1;1.81183395397966e-07;0.00719928214679513
48;06037C;06037C_973; ;06037C_FIRM1;7.38875996830757e-07;0.00630595033844646
50;06037C;06037C_1651;F;06037C_STUDY10;4.12596136811771e-07;0.00279669906786505
51;06037C;06037C_1652;F;06037C_STUDY10;4.74226453661686e-07;0.00275789804855446
52;06037C;06037C_1653;F;06037C_STUDY10;1.50683490574011e-07;0.00357536422409413
53;06037C;06037C_1654;F;06037C_STUDY10;3.2689536055841e-07;0.00231256048680758
54;06037C;06037C_1655;F;06037C_STUDY10;2.07968696486205e-07;0.00420517848515179
57;06037C;06037C_1024; ;06037C_FIRM1;1.64267407853913e-06;0.0083022708639478
60;06037C;06037C_1027; ;06037C_FIRM1;6.73344629831263e-07;0.00384756231864167
61;06037C;06037C_1028; ;06037C_FIRM1;4.52625954494579e-08;0.000983367627507821
62;06037C;06037C_1029; ;06037C_FIRM1;1.81435825652443e-06;0.00621321331234514
64;06037C;06037C_1612;F;06037C_STUDY10;1.49010702443775e-07;0.00160067775578418
65;06037C;06037C_1613;F;06037C_STUDY10;2.92195863949019e-07;0.00223172216733825
66;06037C;06037C_1614;F;06037C_STUDY10;3.78049890059629e-07;0.00296375448618517
67;06037C;06037C_1656;F;06037C_STUDY10;3.09285269395332e-07;0.00412479704035139
68;06037C;06037C_1657;F;06037C_STUDY10;2.01927377929678e-07;0.00204062818989028
69;06037C;06037C_1658;F;06037C_STUDY10;2.48729520535562e-07;0.00219036027741536
