OBJECTID;X;Y;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157192986;-118.253000055711027;33.807999967567568;Carson Refinery;;;4460;;33.808;-118.253;6484809.91739872;1752603.78706406
157192987;-118.419000055749251;33.915999967292066;El Segundo Refinery;;;4461;;33.916;-118.419;6434543.83092321;1792075.89742415
157192988;-118.295000056123712;33.77999996752493;Los Angeles Refinery;;;4462;;33.78;-118.295;6472020.60931598;1742448.6374269
157192989;-118.336000055496882;33.857999967160019;Torrance Refinery;;;4463;;33.858;-118.336;6459655.74657856;1770873.85747923
157192990;-118.155000056087019;33.899999966938687;Paramount Refinery;;;4464;;33.9;-118.155;6514633.53229205;1786024.43675806
157192991;-118.23800005645991;33.790999967728524;Shell Los Angeles Refinery;;;4465;;33.791;-118.238;6489352.20162122;1746405.90936798
157192992;-118.232000056582137;33.781999967049963;Wilmington Refinery;;;4466;;33.782;-118.232;6491167.7849323;1743126.30372247
157234319;-118.170994256991776;34.01858156730664;United States Choice Incorporated;4600 East Olympic Boulevard;Los Angeles;48517;90022;34.0185816;-118.1709942;6509853.2948053;1829186.65194264
157234320;-118.148183156028381;34.054555466953673;El Primo Foods Incorporated;608 Monterey Pass Road;Monterey Park;48518;91754;34.0545555;-118.1481831;6516785.12477364;1842267.27538764
157234321;-117.917909057553103;34.135881166757635;Cal Fresh;778 North Georgia Avenue;Azusa;48519;91702;34.1358812;-117.917909;6586511.82718347;1871840.29104464
157234322;-118.192095656769013;34.019625667066897;La Indiana Tamales;1142 South Indiana Street;Los Angeles;48520;90023;34.0196257;-118.1920956;6503459.58941689;1829578.16887614
157234323;-118.207297756799733;34.016987766592358;Sunrise Food Company;3348 East 14Th Street;Los Angeles;48521;90023;34.0169878;-118.2072977;6498850.92278121;1828627.33777256
157234324;-118.044583156962602;33.89842266689196;Golden Specialty Foods Incorporated;14605 Best Avenue;Norwalk;48522;90650;33.8984227;-118.0445831;6548140.74086805;1785417.15647656
157234325;-118.190830355889872;34.013364466586928;Contessa Premium Foods Incorporated;4000 Noakes Street;Commerce;48523;90023;34.0133645;-118.1908303;6503838.68741196;1827298.86569197
157234326;-118.361888855619938;34.058122166686225;Harvey'S Guss Meat Company;949 South Ogden Drive;Los Angeles;48524;90036;34.0581222;-118.3618888;6452057.75521289;1843729.49621648
157234327;-118.095383556389493;34.079653466871633;Yolanda Quality Foods Incorporated;414 East Valley Boulevard;San Gabriel;48525;91776;34.0796535;-118.0953835;6532786.97761239;1851381.5393113
157234328;-117.963489257416384;34.021904867546048;Zamora Brothers Meats Corporation;15378 Proctor Avenue;City Of Industry;48526;91745;34.0219049;-117.9634892;6572733.90395197;1830354.00590715
157234329;-117.949364456894074;34.016841066980462;San Miguel Meat Distribution Incorporated;16101 East Old Valley Boulevard;La Puente;48527;91744;34.0168411;-117.9493644;6577014.95706964;1828513.04305364
157234330;-118.349060656265408;33.875827767510955;Dianas Mexican Food Products Incorporated;4201 Redondo Beach Boulevard;Lawndale;48528;90260;33.8758278;-118.3490606;6455712.90013355;1777375.3057624
157234331;-118.150862456839505;34.052780166765331;Imperial Meat Company Incorporated;700 Monterey Pass Road;Monterey Park;48529;91754;34.0527802;-118.1508624;6515972.58571631;1841622.41709732
157234332;-117.962774456814842;34.021284166758385;Gaytan Foods;15430 Proctor Avenue;City Of Industry;48530;91745;34.0212842;-117.9627744;6572950.5879018;1830128.19992831
157234333;-118.242840956109674;33.999667967066252;Los Angeles Poultry Company Incorporated;4816 Long Beach Avenue;Los Angeles;48531;90058;33.999668;-118.2428409;6488064.71895997;1822348.4461309
157234334;-118.25479235638096;33.778151967529986;Juanita'S Foods;645 Eubank Avenue;Wilmington;48532;90744;33.778152;-118.2547923;6484237.89065564;1741742.68378632
157234335;-118.219663655982728;34.017510766577026;D And D Meat Company;2805 East Washington Boulevard;Los Angeles;48533;90023;34.0175108;-118.2196636;6495103.98768981;1828825.6260899
157234336;-118.209016556846279;33.988302567019318;Goldberg And Solvy Foods Incorporated;5925 Alcoa Avenue;Vernon;48534;90058;33.9883026;-118.2090165;6498308.35234405;1818189.30812372
157234337;-118.344219255970614;33.927482266995725;Victors Market Company Incorporated;11735 South Prairie Avenue;Hawthorne;48535;90250;33.9274823;-118.3442192;6457246.87606822;1796168.40564331
157234338;-118.23548165575653;33.975967767314877;M And C Unico Incorporated;2041 Hawkins Circle;Los Angeles;48536;90001;33.9759678;-118.2354816;6490275.12956539;1813718.16680355
157234339;-118.206803956257076;33.999135467432275;Papa Cantella'S Incorporated;3341 East 50Th Street;Vernon;48537;90058;33.9991355;-118.2068039;6498987.19744305;1822130.22871956
157234340;-118.149559256840462;33.979373566673992;Sterling Pacific Meat Company;6114 Scott Way;Commerce;48538;90040;33.9793736;-118.1495592;6516327.59123988;1814907.71396515
157234341;-118.252531456342652;33.877825766767351;Richandre Incorporated Doing Business As Ardellas;1170 Sandhill Avenue;Carson;48539;90746;33.8778258;-118.2525314;6485016.1161333;1778014.74083523
157234342;-118.185757856194726;33.999377066588657;Greenland Foods Company;2939 Sunol Drive;Vernon;48540;90058;33.9993771;-118.1857578;6505366.51375264;1822205.69510406
157234343;-118.223146556571081;33.843247667403759;Custom Food Products Limited Liability Company;20644 South Fordyce Avenue;Long Beach;48541;90810;33.8432477;-118.2231465;6493907.75484605;1765409.83822356
