OBJECTID;X;Y;org_name;Name;addrln1;city;post_id;description;zip;latitude;longitude;POINT_X;POINT_Y
157190665;-118.225636056872005;34.048543967288403;;Impacto Leadership Challenge - Elementary School Component Site;1300 Plaza Del Sol;Los Angeles;783;The agency provides business services, child care, community services, homeless support services, shelter for homeless, volunteer opportunities and youth services to low-income people in the Spanish-speaking community of East Los Angeles.;90033;34.048544;-118.225636;6493319.47911972;1840123.20290415
157190670;-118.2278710566423;34.048870967229242;;Impacto Leadership Challenge - Junior/High School College Prep. Component Site;135 N. Mission Rd.;Los Angeles;784;The agency provides business services, child care, community services, homeless support services, shelter for homeless, volunteer opportunities and youth services to low-income people in the Spanish-speaking community of East Los Angeles.;90033;34.048871;-118.227871;6492642.71210055;1840243.73153448
157190709;-118.244317055880742;34.048457967080687;;Little Tokyo Service Center - A Community Development Corporation;231 E. Third St.;Los Angeles;810;The agency provides child care, counseling services, services for older adults and youth services for Japanese immigrants and Japanese-Americans in Los Angeles County.;90013;34.048458;-118.244317;6487660.46681572;1840105.13437073
157191084;-118.09833905630002;34.093824966693404;www.lacasacommunitycenter.org;La Casa Community Center;203 E. Mission Rd.;San Gabriel;1075;The center provides child care and health services targeted, but not restricted, to the low-income Spanish-speaking community.;91776;34.093825;-118.098339;6531897.0597728;1856539.67597665
157191590;-118.474666056331174;34.41853696600851;www.scvbgc.org;Sierra Vista Branch;19425 Stillmore St.;Canyon Country;2018;The club provides child care and youth services for boys and girls ages 7 to 17.;91355;34.418537;-118.474666;6418518.23895872;1975031.86287631
157191594;-118.538194056615637;34.386395966032808;www.scvbgc.org;Santa Clarita Valley Boys And Girls Club;24909 Newhall Ave.;Newhall;2020;The club provides child care and youth services for boys and girls ages 7 to 17.;91321;34.386396;-118.538194;6399296.7009583;1963431.80208698
157191614;-118.042652856252502;33.982202537035107;www.ymcawhittier.org;YMCA Of Greater Whittier;12510 Hadley St;Whittier;;;;;;;
157191625;-118.251594056017694;33.974636967052334;www.childrenscollective.org;Children's Collective Inc - Florence - Firestone;7217 S. Mace Pl.;Los Angeles;2055;The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.;90001;33.974637;-118.251594;6485388.84045348;1813245.69760415
157191627;-118.267979056753589;34.011440967197451;www.childrenscollective.org;Children's Collective Inc - King - San Pedro;3817 S. San Pedro St.;Los Angeles;2056;The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.;90011;34.011441;-118.267979;6480456.74467464;1826652.22590914
157191629;-118.223365055620391;33.795030967760539;www.ccdlb.org;Comprehensive Child Development - Cabrillo Child Development Center;2205 San Gabriel Ave.;Long Beach;2057;The center provides child care and a State Preschool for income-eligible families.;90810;33.795031;-118.223365;6493802.4115528;1747862.69287173
