OBJECTID;X;Y;post_id;Name;description;addrln1;city;zip;org_name;latitude;longitude;POINT_X;POINT_Y
157190579;-118.032219156886697;34.071382656986039;669;Los Angeles County District Attorney - Victim-Witness Assistance Program - El Monte;The program provides victims of crime support in Los Angeles County.;11234 Vly Blvd;El Monte;91731;;34.07138269;-118.0322191;6551913.00432089;1848359.4945024
157190583;-118.486272055615359;34.027547966446875;672;Ucla Medical Center - Santa Monica - Rape Treatment Center;The agency provides sexual assault services for people of all ages in Los Angeles.;1250 16th St.;Santa Monica;90404;;34.027548;-118.486272;6414329.7319158;1832762.02143231
157190608;-118.225402056732861;33.895834967275363;702;Los Angeles County District Attorney - Victim-Witness Assistance Program - Compton;The program provides victims of crime support in Los Angeles County.;200 W. Compton Blvd.;Compton;90220;;33.895835;-118.225402;6493265.74563138;1784549.12474807
157190611;-118.242858056245339;34.05491096656209;703;Los Angeles County District Attorney - Victim-Witness Assistance Program - Family Violence Division;The program provides victims of crime support in Los Angeles County.;210 W. Temple St.;Los Angeles;90012;;34.054911;-118.242858;6488108.1079808;1842452.42856064
157190624;-118.225448056675262;33.92329896669807;712;Shields For Families Inc - Eden;The agency provides child abuse services, domestic violence services, family preservation services, mental health services, residential substance abuse treatment, substance abuse services, vocational education services and youth services primarily for families who live in the South Central Los Angeles/Compton area.;2620 Industry Way;Lynwood;90262;www.shieldsforfamilies.org;33.923299;-118.225448;6493274.20230739;1794543.91381356
157190688;-118.246972056021988;34.052411967025371;798;Bienvenidos Children's Center Inc;The agency provides child abuse services, family support services, foster care services, health services, and substance abuse services for families throughout the San Gabriel Valley.;316 W. 2nd St.;Los Angeles;90012;;34.052412;-118.246972;6486859.7364618;1841546.03306372
157190696;-117.926222056677219;34.066820967426317;800;Bienvenidos - Mental Health - West Covina;The agency provides child abuse services, family support services, foster care services, health services, and substance abuse services for families throughout the San Gabriel Valley.;421 S. Glendora Ave.;West Covina;91790;;34.066821;-117.926222;6584014.68486805;1846706.04636572
157190768;-118.535917056324109;34.223573966515261;845;Behavioral Management Group Inc;The agency provides counseling services for court referred individuals.;8448 Reseda Blvd.;Northridge;91324;;34.223574;-118.535917;6399667.75270964;1904175.00754306
157190777;-118.448906055546132;34.151572016464556;854;Counseling West - Sherman Oaks;The agency provides counseling services for people of all ages who live in the Conejo, San Fernando, and Simi Valleys.;4419 Van Nuys Blvd;Sherman Oaks;91403;www.counselingwest.com;34.15157205;-118.448906;6425853.13308156;1877843.60515347
157191383;-118.241562256523736;34.052904376833872;1351;City Of Los Angeles Office Of The City Attorney - Victim Assistance Unit;The program provides victims of crime support for the city of Los Angeles.;201 N Los  Angeles St;Los Angeles;90012;;34.05290441;-118.2415622;6488498.85293423;1841721.2479364
157191476;-118.301217156086608;34.061541916578719;1883;Los Angeles County Probation Department - Adult Field Services Bureau - Pretrial Services Division;The program provides correctional programs for people who are in custody and wish to be released on their Own Recognizance (OR) before trial.;3530 Wilshire Blvd;Los Angeles;90010;;;;;
157191693;-118.243901056796489;34.055798966967714;2132;Los Angeles County District Attorney - Victim-Witness Assistance Program - Hall Of Records;The program provides victims of crime support in Los Angeles County.;320 W. Temple St.;Los Angeles;90012;da.co.la.ca.us/vwap/default.htm;34.055799;-118.243901;6487792.96556647;1842776.35310964
157191783;-118.292100055832378;33.944454967018267;2453;Los Angeles Community Outreach Center;This agency provides shelter for homeless individuals and families and volunteer opportunities in the SPA 6 section of Los Angeles County.;10121 S. Vermont Ave.;Los Angeles;90044;www.lacommunityoutreach.org;33.944455;-118.2921;6473075.82669371;1802295.07744506
157191979;-118.354347055938732;33.964615966597421;2710;Los Angeles County District Attorney - Victim-Witness Assistance Program - Inglewood;The program provides victims of crime support in Los Angeles County.;1 Regent St.;Inglewood;90301;da.co.la.ca.us/vwap/default.htm;33.964616;-118.354347;6454222.12489989;1809692.76540557
157192031;-118.446560055873206;34.03096596652054;2765;West Area Opportunity Center;The agency provides substance abuse services primarily for people who live in the west Los Angeles area.;11750 W. Pico Blvd.;West Los Angeles;90064;www.westareala.com;34.030966;-118.44656;6426367.92601521;1833950.05383314
157192057;-118.072410056400798;33.91537296735185;2792;Los Angeles County District Attorney - Victim-Witness Assistance Program - Norwalk;The program provides victims of crime support in Los Angeles County.;12720 Norwalk Blvd.;Norwalk;90650;da.co.la.ca.us/vwap/default.htm;33.915373;-118.07241;6539700.58287963;1791590.67562556
157192073;-118.330838056592299;34.095629966829776;2810;Los Angeles County District Attorney - Victim-Witness Assistance Program - Hollywood Lapd;The program provides victims of crime support in Los Angeles County.;1358 N. Wilcox Ave.;Los Angeles;90028;da.co.la.ca.us/vwap/default.htm;34.09563;-118.330838;6461507.62837347;1857346.81806314
157192080;-118.267458055962649;34.056478967284967;2819;Los Angeles County District Attorney - Victim-Witness Assistance Program - Rampart Lapd;The program provides victims of crime support in Los Angeles County.;1401 W. 6th St.;Los Angeles;90017;da.co.la.ca.us/vwap/default.htm;34.056479;-118.267458;6480658.24919289;1843041.96707973
157192083;-117.938828857002477;34.07020481706666;2822;Los Angeles County District Attorney - Victim-Witness Assistance Program - West Covina;The program provides victims of crime support in Los Angeles County.;1427 W West Covina Pkwy;West Covina;91790;da.co.la.ca.us/vwap/default.htm;34.07020485;-117.9388288;6580195.84867372;1847934.93071897
157192089;-118.274917056553036;33.938439966816759;2828;Los Angeles County District Attorney - Victim-Witness Assistance Program - Southeast Lapd;The program provides victims of crime support in Los Angeles County.;145 W. 108th St.;Los Angeles;90061;da.co.la.ca.us/vwap/default.htm;33.93844;-118.274917;6478281.46392022;1800091.39517264
157192103;-118.30503005665642;34.010670967058473;2844;Los Angeles County District Attorney - Victim-Witness Assistance Program - Southwest Lapd;The program provides victims of crime support in Los Angeles County.;1546 W. Martin Luther King Jr. Blvd.;Los Angeles;90062;da.co.la.ca.us/vwap/default.htm;34.010671;-118.30503;6469227.26877405;1826404.01315098
157192138;-118.125946056446509;34.09087124704466;2879;Los Angeles County District Attorney - Victim-Witness Assistance Program - Alhambra;The program provides victims of crime support in Los Angeles County.;150 W Commonwealth Ave;Alhambra;91801;da.co.la.ca.us/vwap/default.htm;34.09087128;-118.125946;6523537.37865755;1855474.08722857
157192154;-118.251359056664157;34.058511967069272;2896;Los Angeles County District Attorney - Victim-Witness Assistance Program - Elder Abuse Section;The program provides victims of crime support in Los Angeles County.;201 N. Figueroa St.;Los Angeles;90012;da.co.la.ca.us/vwap/default.htm;34.058512;-118.251359;6485536.41857038;1843769.22842048
157192177;-118.242858056245339;34.05491096656209;2910;Los Angeles County District Attorney - Victim-Witness Assistance Program - Clara Shortridge Foltz Criminal Justice Center;The program provides victims of crime support in Los Angeles County.;210 W. Temple St.;Los Angeles;90012;da.co.la.ca.us/vwap/default.htm;34.054911;-118.242858;6488108.1079808;1842452.42856064
157192218;-118.247307056713581;34.043826966996491;2952;Los Angeles County District Attorney - Victim-Witness Assistance Program - Central Lapd;The program provides victims of crime support in Los Angeles County.;251 E. Sixth St.;Los Angeles;90014;da.co.la.ca.us/vwap/default.htm;34.043827;-118.247307;6486750.57460664;1838422.04292065
157192248;-118.144101057029388;34.149378966515513;2976;Los Angeles County District Attorney - Victim-Witness Assistance Program - Pasadena;The program provides victims of crime support in Los Angeles County.;300 E. Walnut St.;Pasadena;91101;da.co.la.ca.us/vwap/default.htm;34.149379;-118.144101;6518071.0756138;1876773.49213623
157192276;-118.290833756307507;34.063824536480979;3007;Los Angeles County Human Relations Commission;The commission provides services for the study and prevention of discrimination and hate crimes in Los Angeles County.;3175 W 6Th St;Los Angeles;90020;lahumanrelations.org;34.06382457;-118.2908337;6473585.5858448;1845734.81307198
157192343;-117.753806057693168;34.053975966918657;3082;Los Angeles County District Attorney - Victim-Witness Assistance Program - Pomona;The program provides victims of crime support in Los Angeles County.;400 Civic Center Plaza;Pomona;91766;da.co.la.ca.us/vwap/default.htm;34.053976;-117.753806;6636243.86223364;1842114.63100789
157192364;-118.13674605688449;34.646057965996278;3094;Los Angeles County District Attorney - Victim-Witness Assistance Program - Antelope Valley Courthouse;The program provides victims of crime support in Los Angeles County.;42011 4th St. West;Lancaster;93534;da.co.la.ca.us/vwap/default.htm;34.646058;-118.136746;6520542.29672122;2057522.19986381
157192381;-118.195582156486509;33.768134057162406;3108;City Of Long Beach Department Of Community Development - Neighborhood Services;The bureau provides planning and development services for the city of Long Beach.;333 W Ocean Blvd;Long Beach;90802;www.longbeach.gov/cd/neighborhood_services/default.asp;33.76813409;-118.1955821;6502224.99772596;1738056.57501681
157192448;-118.160122056273906;33.986973966921568;3170;California State Department Of Justice - Bureau Of Narcotic Enforcement;The Bureau provides law enforcement to combat illegal drugs, illegal weapons and violent crime.;5700 S. Eastern Ave.;Los Angeles;90040;www.ag.ca.gov/bne/;33.986974;-118.160122;6513129.61404005;1817678.58801655
157192485;-118.44637895621571;34.183381526368166;3204;Los Angeles County District Attorney - Victim-Witness Assistance Program - Van Nuys Courthouse;The program provides victims of crime support in Los Angeles County.;6230 Sylmar Avenue Mall;Van Nuys;91401;da.co.la.ca.us/vwap/default.htm;34.18338156;-118.4463789;6426669.11242072;1889416.14467239
157192551;-118.340224056072728;33.839028966945449;3264;Los Angeles County District Attorney - Victim-Witness Assistance Program - Torrance;The program provides victims of crime support in Los Angeles County.;825 Maple Ave.;Torrance;90503;da.co.la.ca.us/vwap/default.htm;33.839029;-118.340224;6458349.91421647;1763974.18394265
157192562;-118.446707656166566;34.189492726080381;3274;Domestic Abuse Center;This center provides domestic violence services in Los Angeles County.;14402 Haynes St;Van Nuys;91401;www.domesticabusecenter.org;34.18949276;-118.4467076;6426579.58569689;1891640.54048607
157192568;-118.437175056358669;34.285374925959026;3278;Los Angeles County District Attorney - Victim-Witness Assistance Program - San Fernando Courthouse;The program provides victims of crime support in Los Angeles County.;900 3Rd St;San Fernando;91340;da.co.la.ca.us/vwap/default.htm;34.28537496;-118.437175;6429614.11932597;1926520.80799572
157192591;-118.246064056434292;33.948267966838152;3297;Shields For Families Inc - Act Program;The agency provides child abuse services, domestic violence services, family preservation services, mental health services, residential substance abuse treatment, substance abuse services, vocational education services and youth services primarily for families who live in the South Central Los Angeles/Compton area.;9624 Compton Ave.;Los Angeles;90002;www.shieldsforfamilies.org;33.948268;-118.246064;6487042.00217339;1803645.32999389
157242648;-118.226618056605304;33.895838967282849;56899;Special Service For Groups - Court Referral Service Project;The agency provides advocacy, child care, HIV/AIDS services, holiday assistance, interpreter and translator services, personal goods, services for non-profit organizations, services for older adults, substance abuse services, and youth services in Los Angeles County.;306 W. Compton Blvd.;Compton;90220;ssgmain.org/;33.895839;-118.226618;6492896.72012272;1784551.41017656
157242715;-118.197127756352728;33.767956877024602;56934;Legal Aid Foundation Of Los Angeles - Long Beach Courthouse - Domestic Violence Clinic;The agency provides advocacy, domestic violence services, housing services, immigration assistance, legal services and welfare-to-work support services for residents of metropolitan Los Angeles.;415 W Ocean Blvd;Long Beach;90802;;;;;
157242812;-118.314176056433851;34.060240967126639;57011;Koreatown Youth And Community Center - Kycc Wilton Office;The agency provides business services, child care, conservation, counseling services, housing services, and youth services to residents of Koreatown.;680 S. Wilton Pl.;Los Angeles;90005;www.kyccla.org;34.060241;-118.314176;6466511.85425739;1844451.96524398
157242902;-118.15553005607309;34.027088966791901;57071;Bienvenidos - Family Services;The agency provides child abuse services, family support services, foster care services, health services, and substance abuse services for families throughout the San Gabriel Valley.;501 S. Atlantic Blvd.;Los Angeles;90022;www.bienvenidos.org;34.027089;-118.15553;6514544.2578643;1832275.04996531
157242910;-118.130055056157445;34.01390596661507;57076;Bienvenidos - Mental Health - Montebello;The agency provides child abuse services, family support services, foster care services, health services, and substance abuse services for families throughout the San Gabriel Valley.;110 S. Garfield;Montebello;90640;www.bienvenidos.org;34.013906;-118.130055;6522257.04985338;1827466.53071098
157242911;-118.09468105641507;34.151030967220038;57077;Bienvenidos - Mental Health - Pasadena;The agency provides child abuse services, family support services, foster care services, health services, and substance abuse services for families throughout the San Gabriel Valley.;255 N. San Gabriel Blvd.;Pasadena;91107;www.bienvenidos.org;34.151031;-118.094681;6533024.1697233;1877356.92568064
