OBJECTID;X;Y;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157191586;-118.294858055807524;33.988911967374698;Vermont Slauson Economic Development Corporation;1130 W. Slauson Ave.;Los Angeles;2009;90044;33.988912;-118.294858;6472286.78069964;1818476.30197231
157191672;-118.068886056338982;34.072745966866783;Career Partners - Rosemead Worksource Center;3505 N. Hart Ave.;Rosemead;;;;;;
157191678;-118.309115055616303;33.98406096707194;Vermont Slauson Economic Development Corporation - Satellite Center;6109 S. Western Ave.;Los Angeles;;;;;;
157191689;-118.116942756775359;34.581921536060356;Los Angeles County Community And Senior Services - Workforce Investment Act - South Valley Worksource Center;38510 Sierra Hwy;Palmdale;;;;;;
157191812;-118.264869855763848;33.845238157454482;Force Of Hope Economic Development Corporation;20501 S Avalon Blvd;Carson;2489;;;;;
157191978;-118.266024856467851;34.051400936949072;City Of Los Angeles Workforce Investment Board;1200 W 7Th St;Los Angeles;2708;90017;34.05140097;-118.2660248;6481087.4684788;1841192.8277334
157192005;-118.193040556063707;33.768907167338092;City Of Long Beach Department Of Community Development - Neighborhood Services - Business Services;100 W Broadway;Long Beach;2738;90802;33.7689072;-118.1930405;6502998.03259721;1738336.43830223
157192038;-118.266024856467851;34.051400936949072;City Of Los Angeles Housing Department - Homeownership And Preservation Division;1200 W 7Th St;Los Angeles;2774;90017;34.05140097;-118.2660248;6481087.4684788;1841192.8277334
157192265;-118.290834056780696;34.063824966689516;Los Angeles County Community And Senior Services - Workforce Investment Act - Worksource Centers;3175 W. Sixth St.;Los Angeles;2995;90020;34.063825;-118.290834;6473585.49529381;1845734.96989581
157192301;-118.151848656377993;34.08390433672659;San Gabriel Valley Council Of Governments;1000 S Fremont Ave;Alhambra;3041;91803;34.08390437;-118.1518486;6515690.96652889;1852949.53650339
157192384;-118.195582156486509;33.768134057162406;City Of Long Beach Department Of Community Development - Neighborhood Services;333 W Ocean Blvd;Long Beach;3108;90802;33.76813409;-118.1955821;6502224.99772596;1738056.57501681
157192387;-118.253733056728748;34.056275156939634;California Community Foundation;221 S Figueroa St;Los Angeles;3109;90012;34.05627519;-118.253733;6484815.30649555;1842957.0190869
157192391;-118.368368055692855;34.154864966748598;California State Employment Training Panel;4640 Lankershim Blvd.;North Hollywood;3114;91602;34.154865;-118.368368;6450224.29824989;1878942.90282364
157242402;-118.448976256407491;34.196396006380134;New Economics For Women - Familysource Center - South Valley;6931 Van Nuys Blvd;Van Nuys;56653;91406;34.19639604;-118.4489762;6425904.75436939;1894155.80054739
157242405;-118.26573705642663;34.059912966473107;New Economics For Women;303 S. Loma Dr.;Los Angeles;56654;90017;34.059913;-118.265737;6481182.8363983;1844290.27888756
157242406;-118.597831055771096;34.20810605648542;New Economics For Women - Familysource Center - Canoga Park Dennis P. Zine Community Center;21400 Saticoy St;Canoga Park;56655;91304;34.20810609;-118.597831;6380918.47459146;1898651.60487598
157242747;-118.404974055851625;34.233427966910533;El Proyecto Del Barrio - Sun Valley Worksource Of California;9024 Laurel Canyon Blvd.;Sun Valley;56955;91352;34.233428;-118.404974;6439264.76570706;1907575.77108273
157242792;-118.573438756163071;34.40583104575343;Worksource California Antelope Valley One-Stop Career Center - Santa Clarita Worksource Center;26455 Rockwell Canyon Rd;Santa Clarita;56997;91355;34.40583108;-118.5734387;6388703.80383706;1970563.29799455
157242793;-118.033353057062271;34.072685967150377;National Center For American Indian Enterprise Development;11138 Valley Mall;El Monte;57001;91731;34.072686;-118.033353;6551569.76813072;1848833.90595515
157242795;-118.253987056374783;33.935575967164233;Watts Labor Community Action Committee - Southeast Los Angeles - Watts Worksource Center;10956 S. Central Ave.;Los Angeles;57002;90059;33.935576;-118.253987;6484627.38331497;1799032.42320922
157242797;-118.448896556196871;34.163873576461285;Valley Economic Development Center;5121 Van Nuys Blvd;Van Nuys;57003;91403;34.16387361;-118.4488965;6425875.99950564;1882320.30945465
157242820;-118.257033056854183;34.048833966796771;Operation Hope Inc;707 Wilshire Blvd.;Los Angeles;57017;90017;34.048834;-118.257033;6483808.8232723;1840251.5737104
157242823;-118.186683056190191;33.987307966915296;Hope Center - Maywood;4449 E. Slauson Blvd.;Maywood;;;;;;
157242826;-118.355834056442689;34.018992967061195;Hope Center - La Brea;3721 S. La Brea Ave.;Los Angeles;57020;90016;34.018993;-118.355834;6453841.27789256;1829483.15134965
157242828;-118.264486056652473;33.917356967186052;Los Angeles Urban League - Worksource California Business And Career Center;12700 S. Avalon Blvd.;Los Angeles;57022;90061;33.917357;-118.264486;6481425.23880063;1792410.35508856
157242830;-117.74660905787114;34.060509967409381;Los Angeles Urban League - City Of Pomona Worksource Center;264 E. Monterey Rd.;Pomona;57025;91766;34.06051;-117.746609;6638417.87461789;1844497.89034897
157242835;-118.328982056448069;33.959851966895215;Community Centers, Inc. - South Los Angeles;7518-26 S. Vermont Ave.;Los Angeles;57028;90044;33.959852;-118.328982;6461907.8198303;1807932.90967332
157242839;-118.262774056480438;34.052300967009046;Pacific Asian Consortium In Employment - Business Development Center;1055 Wilshire Blvd.;Los Angeles;57030;90017;34.052301;-118.262774;6482073.03802997;1841517.77491814
157242843;-118.262774056480438;34.052300967009046;Pacific Asian Consortium In Employment - Los Angeles Office;1055 Wilshire Blvd.;Los Angeles;57031;90017;34.052301;-118.262774;6482073.03802997;1841517.77491814
