OBJECTID;COMID;PERMANENT_;AREASQKM;REACHCODE;FTYPE;FCODE;OBJECTID_1;DESCRIPTIO;HYDROGRAPH;Shapearea;Shapelen;InLA
85;27561969;27561969;0.096; ;466;46600;1948;Swamp/Marsh; ;2.89808135486737;8.15770240035699;No
783;27694060;27694060;0;1,81E+13;436;43613;2646;Reservoir: Reservoir Type = Water Storage;;;;
239;27926980;27926980;0; ;361;36100;2102;Playa; ;500.305718679964;104.003333808479;Yes
505;132735677;132735677;0;1,81E+13;436;43613;2368;Reservoir: Reservoir Type = Water Storage;;;;
461;27937474;27937474;0;1,81E+13;436;43613;2324;Reservoir: Reservoir Type = Water Storage;;;;
704;27691920;27691920;0;1,81E+13;390;39004;2567;Lake/Pond: Hydrographic Category = Perennial;Perennial;1144.75841568345;133.131190714407;Yes
984;27689808;27689808;0;1,81E+13;436;43613;2847;Reservoir: Reservoir Type = Water Storage;;;;
889;132735488;132735488;0;1,81E+13;390;39001;2752;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;1520.56114153309;156.938622874172;Yes
833;27107181;27107181;0;1,81E+13;390;39004;2696;Lake/Pond: Hydrographic Category = Perennial;Perennial;1634.67936228404;158.806721739831;Yes
592;27556515;27556515;0;1,81E+13;436;43613;2455;Reservoir: Reservoir Type = Water Storage;;;;
436;27104897;27104897;0;1,81E+13;390;39004;2299;Lake/Pond: Hydrographic Category = Perennial;Perennial;1770.16207170697;165.979213747671;Yes
895;132735715;132735715;0;1,81E+13;390;39001;2758;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;1617.67379330046;173.517014409778;Yes
272;120011581;120011581;0;1,81E+13;436;43613;2135;Reservoir: Reservoir Type = Water Storage;;;;
716;27913128;27913128;0;1,81E+13;390;39004;2579;Lake/Pond: Hydrographic Category = Perennial;Perennial;2194.99703626451;174.737804167502;Yes
452;27920862;27920862;0;1,81E+13;390;39001;2315;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;2261.20189514099;178.920623857295;Yes
1053;132735511;132735511;0;1,81E+13;390;39001;2916;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;2461.57282885318;181.765729013621;Yes
987;27687724;27687724;0;1,81E+13;436;43613;2850;Reservoir: Reservoir Type = Water Storage;;;;
1058;27686890;27686890;0;1,81E+13;436;43613;2921;Reservoir: Reservoir Type = Water Storage;;;;
827;27909472;27909472;0;1,81E+13;436;43613;2690;Reservoir: Reservoir Type = Water Storage;;;;
311;27923320;27923320;0;1,81E+13;390;39001;2174;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;2411.59890675087;189.120177505269;Yes
798;27108577;27108577;0;1,81E+13;390;39004;2661;Lake/Pond: Hydrographic Category = Perennial;Perennial;2492.02684863425;195.204704688056;Yes
221;27092349;27092349;0;1,81E+13;390;39004;2084;Lake/Pond: Hydrographic Category = Perennial;Perennial;2671.49611812034;195.242541350687;Yes
1033;27110519;27110519;0;1,81E+13;390;39001;2896;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;2472.08267734038;198.78920183041;Yes
527;27106571;27106571;0;1,81E+13;436;43624;2390;Reservoir;;;;
847;27937072;27937072;0;1,81E+13;390;39004;2710;Lake/Pond: Hydrographic Category = Perennial;Perennial;2809.5842382682;204.161645729073;Yes
477;132735519;132735519;0;1,81E+13;390;39001;2340;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;2844.7973083072;207.353448792021;Yes
430;27557387;27557387;0;1,81E+13;436;43613;2293;Reservoir: Reservoir Type = Water Storage;;;;
310;27923316;27923316;0;1,81E+13;390;39001;2173;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;3250.93105022038;211.879912638242;Yes
748;132735563;132735563;0;1,81E+13;390;39001;2611;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;2986.46737124081;212.580650306898;Yes
771;27922758;27922758;0;1,81E+13;390;39001;2634;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;3310.05821142589;212.942796319574;Yes
281;27904058;27904058;0;1,81E+13;390;39004;2144;Lake/Pond: Hydrographic Category = Perennial;Perennial;2787.10738457964;213.201680735218;Yes
371;27108521;27108521;0;1,81E+13;436;43613;2234;Reservoir: Reservoir Type = Water Storage;;;;
255;27104895;27104895;0;1,81E+13;390;39004;2118;Lake/Pond: Hydrographic Category = Perennial;Perennial;3023.46872081783;214.95875341814;Yes
909;27110513;27110513;0;1,81E+13;390;39001;2772;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;3059.91601286233;215.158646294505;Yes
212;27555919;27555919;0;1,81E+13;436;43601;2075;Reservoir: Reservoir Type = Aquaculture; ;3182.18669359132;220.021790506083;Yes
762;27558759;27558759;0;1,81E+13;390;39001;2625;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;2985.77766320009;221.762021590315;Yes
701;27104893;27104893;0;1,81E+13;390;39004;2564;Lake/Pond: Hydrographic Category = Perennial;Perennial;3670.24244534071;225.48647605562;Yes
598;27104891;27104891;0;1,81E+13;390;39004;2461;Lake/Pond: Hydrographic Category = Perennial;Perennial;3175.73330001202;227.451919440038;Yes
366;132735717;132735717;0;1,81E+13;390;39001;2229;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;2763.19456844703;227.535148934345;Yes
1005;27920864;27920864;0;1,81E+13;390;39001;2868;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;3473.22599597509;228.907734388775;Yes
826;27559575;27559575;0;1,81E+13;436;43613;2689;Reservoir: Reservoir Type = Water Storage;;;;
560;27909470;27909470;0;1,81E+13;436;43613;2423;Reservoir: Reservoir Type = Water Storage;;;;
511;27095137;27095137;0;1,81E+13;390;39004;2374;Lake/Pond: Hydrographic Category = Perennial;Perennial;3644.17173832424;232.804589110952;Yes
867;27687786;27687786;0;1,81E+13;390;39001;2730;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;3876.15751038302;235.891558250557;Yes
262;27558761;27558761;0;1,81E+13;390;39001;2125;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;2815.91129224601;236.08237895369;Yes
1014;132735721;132735721;0;1,81E+13;390;39001;2877;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;2869.96899290297;236.106421661853;Yes
718;27922764;27922764;0;1,81E+13;390;39001;2581;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;2980.23699778145;236.790468914555;Yes
956;27560151;27560151;0;1,81E+13;436;43613;2819;Reservoir: Reservoir Type = Water Storage;;;;
842;27913130;27913130;0;1,81E+13;390;39004;2705;Lake/Pond: Hydrographic Category = Perennial;Perennial;2873.6611067774;238.869017833109;Yes
958;27687346;27687346;0;1,81E+13;390;39001;2821;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;3709.54546598972;239.515508208032;Yes
345;132735719;132735719;0;1,81E+13;390;39001;2208;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;3470.07460207129;240.144512351782;Yes
898;27555929;27555929;0;1,81E+13;436;43624;2761;Reservoir;;;;
682;27937108;27937108;0;1,81E+13;390;39001;2545;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;4204.23449588572;242.315349693134;Yes
920;27912030;27912030;0;1,81E+13;390;39004;2783;Lake/Pond: Hydrographic Category = Perennial;Perennial;3801.38569098078;243.867016294735;Yes
1063;27102187;27102187;0;1,81E+13;390;39004;2926;Lake/Pond: Hydrographic Category = Perennial;Perennial;4699.4710776328;247.33649101415;Yes
632;27923330;27923330;0;1,81E+13;390;39001;2495;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;3482.25220567437;248.676550727059;Yes
707;27557327;27557327;0;1,81E+13;390;39001;2570;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;3486.32831524262;249.158061356633;Yes
992;27086431;27086431;0;1,81E+13;390;39004;2855;Lake/Pond: Hydrographic Category = Perennial;Perennial;4364.54515392696;249.315940927388;Yes
974;27913046;27913046;0;1,81E+13;390;39001;2837;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;3921.19016486093;250.71783612608;Yes
236;27937138;27937138;0;1,81E+13;390;39004;2099;Lake/Pond: Hydrographic Category = Perennial;Perennial;3817.61667786075;251.233692895911;Yes
1060;27687830;27687830;0;1,81E+13;436;43613;2923;Reservoir: Reservoir Type = Water Storage;;;;
479;132735710;132735710;0;1,81E+13;390;39001;2342;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;3351.33792213193;252.142237388126;Yes
476;27927840;27927840;0;1,81E+13;390;39004;2339;Lake/Pond: Hydrographic Category = Perennial;Perennial;3965.71026587958;252.25518162994;Yes
407;27895976;27895976;0;1,81E+13;390;39004;2270;Lake/Pond: Hydrographic Category = Perennial;Perennial;4307.59917903615;252.856068871308;Yes
455;27927938;27927938;0;1,81E+13;390;39004;2318;Lake/Pond: Hydrographic Category = Perennial;Perennial;3858.64538309137;254.551079940528;Yes
1018;27686870;27686870;0;1,81E+13;436;43613;2881;Reservoir: Reservoir Type = Water Storage;;;;
937;27108539;27108539;0;1,81E+13;390;39004;2800;Lake/Pond: Hydrographic Category = Perennial;Perennial;3808.15851152712;256.357908912618;Yes
786;27556521;27556521;0;1,81E+13;436;43613;2649;Reservoir: Reservoir Type = Water Storage;;;;
426;27687736;27687736;0;1,81E+13;436;43613;2289;Reservoir: Reservoir Type = Water Storage;;;;
659;27915702;27915702;0;1,81E+13;390;39001;2522;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;4362.78970267745;258.718648664898;Yes
423;27927678;27927678;0; ;361;36100;2286;Playa; ;4895.40532427568;258.770992341353;Yes
591;27109731;27109731;0;1,81E+13;436;43613;2454;Reservoir: Reservoir Type = Water Storage;;;;
684;132735609;132735609;0;1,81E+13;436;43613;2547;Reservoir: Reservoir Type = Water Storage;;;;
469;27560037;27560037;0;1,81E+13;390;39004;2332;Lake/Pond: Hydrographic Category = Perennial;Perennial;3868.43359871455;260.05380411503;Yes
143;27108557;27108557;0;1,81E+13;390;39004;2006;Lake/Pond: Hydrographic Category = Perennial;Perennial;3942.70609038281;260.258147976707;Yes
401;27102197;27102197;0;1,81E+13;390;39004;2264;Lake/Pond: Hydrographic Category = Perennial;Perennial;4295.38147830493;263.254475879337;Yes
254;27102185;27102185;0;1,81E+13;390;39004;2117;Lake/Pond: Hydrographic Category = Perennial;Perennial;5109.82867110521;263.940694363062;Yes
824;27556577;27556577;0;1,81E+13;436;43613;2687;Reservoir: Reservoir Type = Water Storage;;;;
761;27557337;27557337;0;1,81E+13;390;39001;2624;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;4381.57389170448;265.543451289891;Yes
256;27108543;27108543;0;1,81E+13;390;39004;2119;Lake/Pond: Hydrographic Category = Perennial;Perennial;4603.70182986786;266.865808128633;Yes
742;27922848;27922848;0;1,81E+13;390;39004;2605;Lake/Pond: Hydrographic Category = Perennial;Perennial;4953.2082607529;267.064289842058;Yes
361;27916208;27916208;0;1,81E+13;390;39004;2224;Lake/Pond: Hydrographic Category = Perennial;Perennial;4705.26442392282;267.191826462397;Yes
910;27112111;27112111;0;1,81E+13;390;39001;2773;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;5276.81409683508;268.872848452628;Yes
208;27115981;27115981;0;1,81E+13;436;43613;2071;Reservoir: Reservoir Type = Water Storage;;;;
651;27558207;27558207;0;1,81E+13;390;39004;2514;Lake/Pond: Hydrographic Category = Perennial;Perennial;4175.77103976414;270.204057448587;Yes
830;27092063;27092063;0;1,81E+13;390;39004;2693;Lake/Pond: Hydrographic Category = Perennial;Perennial;4916.53464628778;271.221322399549;Yes
135;27895952;27895952;0;1,81E+13;436;43613;1998;Reservoir: Reservoir Type = Water Storage;;;;
863;27095135;27095135;0;1,81E+13;390;39004;2726;Lake/Pond: Hydrographic Category = Perennial;Perennial;4982.19017829763;272.637440511625;Yes
879;27920860;27920860;0;1,81E+13;390;39001;2742;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;4599.11885118488;272.851715893931;Yes
565;27107793;27107793;0.001;1,81E+13;390;39004;2428;Lake/Pond: Hydrographic Category = Perennial;Perennial;5645.01779647308;273.159880642709;Yes
812;132735507;132735507;0;1,81E+13;390;39001;2675;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;4534.23004053394;273.299465260696;Yes
1080;27913124;27913124;0;1,81E+13;390;39004;2943;Lake/Pond: Hydrographic Category = Perennial;Perennial;4682.85197502732;274.328231505819;Yes
429;27557341;27557341;0;1,81E+13;436;43613;2292;Reservoir: Reservoir Type = Water Storage;;;;
213;27555955;27555955;0.001;1,81E+13;436;43613;2076;Reservoir: Reservoir Type = Water Storage;;;;
322;27557353;27557353;0;1,81E+13;436;43613;2185;Reservoir: Reservoir Type = Water Storage;;;;
822;27108029;27108029;0;1,81E+13;436;43613;2685;Reservoir: Reservoir Type = Water Storage;;;;
686;27927688;27927688;0; ;361;36100;2549;Playa; ;5050.63743970145;277.350942883597;Yes
337;27914496;27914496;0;1,81E+13;390;39004;2200;Lake/Pond: Hydrographic Category = Perennial;Perennial;4659.61208520511;277.444603837331;Yes
619;27687344;27687344;0;1,81E+13;390;39001;2482;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;4555.34671677793;277.552029738583;Yes
369;27686888;27686888;0;1,81E+13;436;43613;2232;Reservoir: Reservoir Type = Water Storage;;;;
496;27895972;27895972;0;1,81E+13;390;39004;2359;Lake/Pond: Hydrographic Category = Perennial;Perennial;5203.74189940858;278.799692401152;Yes
874;27912028;27912028;0.001;1,81E+13;390;39004;2737;Lake/Pond: Hydrographic Category = Perennial;Perennial;5465.82636263965;279.251288436502;Yes
263;27561917;27561917;0;1,81E+13;390;39001;2126;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;5314.8557097708;279.362994698492;Yes
692;27555927;27555927;0;1,81E+13;436;43624;2555;Reservoir;;;;
