OBJECTID;X;Y;Name;post_id;latitude;longitude;POINT_X;POINT_Y
157201428;-118.616000056237283;34.514999965848439;Brickyard Clay Pit;12968;34.515;-118.616;6376109.64726688;2010367.43164073
157201429;-118.202000056069636;33.775999967296222;Del Sur Ridge Quarry;12969;33.776;-118.202;6500280.09282313;1740923.05714473
157201430;-117.924000056755204;34.109999966867299;Azuza Plant;12970;34.11;-117.924;6584675.75638056;1862420.19702397
157201431;-118.389000056038469;34.197999966272413;Redco Mill;12971;34.198;-118.389;6444043.07340764;1894663.90943931
157201746;-118.308000054992149;33.319399968096455;Connolly-Pacific Co.;13288;33.3194;-118.308;6467556.31345455;1574829.08060631
157201747;-118.749000056049013;34.818399965352107;National Cement Co. Of California, Inc.;13289;34.8184;-118.749;6336868.83992189;2121052.75587331
157201748;-118.371000056600977;34.432599965779296;Vulcan Materials Co.;13290;34.4326;-118.371;6449801.06320398;1980018.12980664
157201749;-118.484000054971617;33.37469996752192;Connolly-Pacific Co.;13291;33.3747;-118.484;6413874.11963806;1595167.65607081
157235159;-117.993000057752994;34.546899965920424;Antelope Valley Aggregate, Inc.;49368;34.5469;-117.993;6563778.16792648;2021408.09164597
157235160;-117.925000057356485;34.119999966921519;Cemex, Inc.;49369;34.12;-117.925;6584370.33770005;1866059.15431298
157235161;-117.984000057111388;34.092599967247864;Vulcan Materials Co.;49370;34.0926;-117.984;6566514.58436963;1856079.69887823
157235162;-118.3790000564575;34.229399966590307;Vulcan Materials Co.;49371;34.2294;-118.379;6447109.98065963;1906079.30393131
157235163;-118.382000056730362;34.235299966375969;United Rock Products Corp.;49372;34.2353;-118.382;6446211.33449106;1908229.83768798
157235164;-118.017000056646708;34.025799966832174;Livingston Graham;49373;34.0258;-118.017;6556519.19523972;1831769.93581806
157235165;-118.380000056639815;34.433499966205751;Curtis Sand & Gravel Co.;49374;34.4335;-118.38;6447088.50465272;1980355.79415756
157235166;-118.004000057805357;34.543099966573841;Vulcan Materials Co.;49375;34.5431;-118.004;6560465.77921006;2020025.13017306
157235167;-117.93500005669641;34.136099967145135;Vulcan Materials Co.;49376;34.1361;-117.935;6581339.88116255;1871916.13210031
157235168;-118.001000057926674;34.538099966044442;Hi-Grade Materials Co.;49377;34.5381;-118.001;6561369.1661828;2018205.48715881
157235169;-117.98800005764663;34.554999966683383;Service Rock Products Corp.;49378;34.555;-117.988;6565283.4221338;2024356.0224299
157235170;-118.003000057674086;34.539999966538169;Granite Construction Co.;49379;34.54;-118.003;6560766.88064197;2018896.95493598
157235171;-117.95400005768478;34.538999966552282;Holliday Rock Co., Inc.;49380;34.539;-117.954;6575523.21202163;2018536.18794097
157235172;-118.002000056946343;34.106399966590772;Sls & N, Inc.;49381;34.1064;-118.002;6561064.89546588;1861101.39749622
