OBJECTID;X;Y;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157191514;-118.222709056517687;34.047140966797976;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Pecan Pool;120 S. Gless St.;Los Angeles;1933;90033;34.047141;-118.222709;6494205.00884472;1839610.64749882
157191515;-118.353330056182031;34.072250966572113;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Pan Pacific Pool;141 S. Gardner St.;Los Angeles;1934;90036;34.072251;-118.35333;6454668.19454581;1848861.9836549
157191516;-118.211101056379349;34.039129967128908;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Roosevelt Pool;456 S. Mathews;Los Angeles;1935;90033;34.03913;-118.211101;6497715.29677163;1836687.70616622
157191517;-118.286824056161777;33.957321967369857;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Algin Sutton Pool;8800 S. Hoover St.;Los Angeles;1936;90044;33.957322;-118.286824;6474689.40483138;1806973.0319999
157191518;-118.27704375640036;34.060360796438644;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Macarthur Park Lake;2230 W 6Th St;Los Angeles;1937;90057;34.06036083;-118.2770437;6477758.67526764;1844462.4983594
157191519;-118.267189056143792;33.95569796698878;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Green Meadows Pool;431 E. 89th St.;Los Angeles;1938;90003;33.955698;-118.267189;6480642.23905431;1806365.61621998
157191520;-118.429440055858763;34.016373967144659;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Mar Vista Pool;11655 Palms Blvd.;Los Angeles;1939;90066;34.016374;-118.42944;6431532.36450522;1828617.17932831
157191521;-118.259983055882373;34.072418966837283;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Echo Lake;751 Echo Park Ave.;Los Angeles;1940;90026;34.072419;-118.259983;6482937.39850597;1848836.88003056
157191522;-118.514480055330367;34.037716966890429;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Rustic Canyon Pool;601 Latimer Rd.;Pacific Palisades;1942;90272;34.037717;-118.51448;6405801.71124221;1836505.22063881
157191523;-118.442480056414453;34.159539966238761;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Van Nuys Sherman Oaks Pool;14201 Huston St.;Van Nuys;1943;91423;34.15954;-118.44248;6427810.08061121;1880734.63874148
157191524;-118.251590055809217;34.020899967270445;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Central Pool;1357 E. 22nd St.;Los Angeles;1944;90011;34.0209;-118.25159;6485432.19240089;1830081.69936514
157191525;-118.24799605605719;33.936650966719064;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - 109Th St. Pool;1500 E. 109th St.;Los Angeles;1945;90059;33.936651;-118.247996;6486445.62016405;1799419.10058548
157191526;-118.24735105619142;34.008726967357781;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Ross Snyder Pool;1501 E. 41st St.;Los Angeles;1946;90011;34.008727;-118.247351;6486705.81288514;1825648.52450448
157191527;-118.407426056815027;34.281821966754727;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Hubert H. Humphrey Pool;12560 Filmore St.;Pacoima;1947;91331;34.281822;-118.407426;6438595.02295205;1925190.07837373
157191528;-118.18152685616225;34.075704186583387;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Richard Alatorre Indoor Pool;4721 Klamath St;Los Angeles;1948;90032;34.07570422;-118.1815268;6506699.10459138;1849980.25274381
157191529;-118.188663056399108;34.113122966610185;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Highland Pool;6150 Piedmont Ave.;Los Angeles;1949;90042;34.113123;-118.188663;6504563.63084397;1863601.60607848
157191530;-118.259325056156172;34.064237966835101;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Echo Deep Indoor Pool;1419 Colton St.;Los Angeles;1950;90026;34.064238;-118.259325;6483128.98506506;1845859.15239023
157191531;-118.211851056339398;34.020997967075644;City Of Los Angeles Department Of Recreation And Parks - Citywide Aquatics - Costello Pool;3121 E. Olympic Blvd.;Los Angeles;1951;90023;34.020998;-118.211851;6497474.17061347;1830089.60387689
