OBJECTID;X;Y;cat1;cat2;cat3;org_name;Name;addrln1;addrln2;city;state;post_id;zip;use_type;latitude;longitude;POINT_X;POINT_Y
157245949;-117.827398057504652;34.640729966317913;Education;Public Elementary Schools;;www.wilsonasd.net;Challenger Middle School;41725 170th St. East;;Lancaster;CA;59770;93535;publish;34.64073;-117.827398;6613585.7861588;2055599.79130706
157249017;-118.061844763775909;34.559114312575851;Education;Public Elementary Schools;;Palmdale School District;Oak Tree Learning Center;37230 37th Street East;;Palmdale;CA;66949;93550;publish;34.55911435;-118.06184471;6543050.29993346;2025858.84586781
157249019;-118.169240412642267;34.671904171103044;Education;Public Elementary Schools;;Lancaster School District;Miller Elementary School;43420 22nd Street West;;Lancaster;CA;66951;93536;publish;34.67190421;-118.16924036;6510785.06951655;2066943.24959123
157249020;-118.130343017560364;34.573294305778404;Education;Public Elementary Schools;;Palmdale School District;Palmdale Learning Plaza;38043 Division Street;;Palmdale;CA;66954;93551;publish;34.57329434;-118.13034296;6522433.75061548;2031039.01103239
157249022;-118.082304654517827;34.685606154570358;Education;Public Elementary Schools;;Eastside Union School District;Columbia Elementary School;2640 East Avenue J-4;;Lancaster;CA;66956;93535;publish;34.68560619;-118.0823046;6536927.98934346;2071897.10812181
157249120;-118.255553897853275;33.973313841074031;Education;Public Elementary Schools;;Los Angeles Unified School District;Wisdom Elementary School;1125 E. 74th Street;;Los Angeles;CA;67964;90001;publish;33.97331387;-118.25555384;6484187.0233033;1812767.21430914
157249262;-118.39134805598853;33.868575966745183;Education;Public Elementary Schools;;www.hbcsd.org;Hermosa View School;1800 Prospect Ave.;;Hermosa Beach;CA;59724;90254;publish;33.868576;-118.391348;6442866.33593172;1774783.49434498
157250293;-118.554381755769938;34.391849916504846;Education;Public Elementary Schools;;;Meadows School;25577 Fedala Rd;;Valencia;CA;70437;91355;publish;34.39184995;-118.5543817;6394423.85276438;1965443.11499348
157250294;-118.53205965593925;34.382266006111479;Education;Public Elementary Schools;;;Newhall School;24607 Walnut St;;Newhall;CA;70438;91321;publish;34.38226604;-118.5320596;6401139.48237772;1961918.99638556
157250295;-118.547520256125793;34.381645756132471;Education;Public Elementary Schools;;;Old Orchard School;25141 Avenida Rondel;;Valencia;CA;70439;91355;publish;34.38164579;-118.5475202;6396473.58947855;1961718.32847981
157250296;-118.5460409563848;34.374827436349854;Education;Public Elementary Schools;;;Peachland School;24800 Peachland Ave;;Newhall;CA;70440;91321;publish;34.37482747;-118.5460409;6396906.43736614;1959234.61691181
157250297;-118.548435756511182;34.407884645701515;Education;Public Elementary Schools;;;Valencia Valley School;23601 Carrizo Dr;;Valencia;CA;70441;91355;publish;34.40788468;-118.5484357;6396249.46853572;1971268.54724023
157250298;-118.558163955804076;34.376264426266076;Education;Public Elementary Schools;;;Wiley Canyon School;24240 La Glorita Cir;;Newhall;CA;70442;91321;publish;34.37626446;-118.5581639;6393251.35117239;1959777.64961839
157250299;-118.596622255757254;34.390789485945952;Education;Public Elementary Schools;;;Stevenson Ranch School;25820 Carroll Ln;;Stevenson Ranch;CA;70443;91381;publish;34.39078952;-118.5966222;6381678.54689021;1965130.16942514
157250300;-118.578971656419526;34.382333206375435;Education;Public Elementary Schools;;;Pico Canyon School;25255 Pico Canyon Rd;;Stevenson Ranch;CA;70444;91381;publish;34.38233324;-118.5789716;6386985.67702398;1962021.6746579
157250301;-118.511973856189712;34.376711126461906;Education;Public Elementary Schools;;;Dr. J. M. Mcgrath;21501 Deputy Jake Dr;;Newhall;CA;70445;91321;publish;34.37671116;-118.5119738;6407189.33773205;1959866.02050464
157250302;-118.592753256246297;34.404474985966488;Education;Public Elementary Schools;;;Oak Hills School;26730 Old Rock Rd;;Valencia;CA;70446;91381;publish;34.40447502;-118.5927532;6382875.12061255;1970103.60436015
157250345;-117.808855758230166;34.616559155847888;Education;Public Elementary Schools;;;Wilsona School District;18020 E Ave O;;Palmdale;CA;70457;93591;publish;34.61655919;-117.8088557;6619179.68606022;2046813.47062515
157250413;-118.135638356350753;33.834304507765829;Education;Public Elementary Schools;;;Long Beach Community College District;4901 E Carson St;;Long Beach;CA;70577;90808;publish;33.83430454;-118.1356383;6520476.83162905;1762107.7713369
157254876;-118.262730055999114;33.959899966829688;Education;Public Elementary Schools;;Los Angeles County Office of Education;Wisdom Academy for Young Scientists;706 East Manchester Avenue;;Los Angeles;CA;77004;90001;publish;33.9599;-118.26273;6481998.47518697;1807891.24505848
157254919;-118.08410005694077;33.835929967344946;Education;Public Elementary Schools;;ABC Unified;Aloha Elementary School;11737 East 214th Street;;Lakewood;CA;77047;90715;publish;33.83593;-118.0841;6536129.56016606;1762682.21014865
157254920;-118.068320056613629;33.856079967769688;Education;Public Elementary Schools;;ABC Unified;Carver (Charles J.) Elementary School;19200 East Ely Street;;Cerritos;CA;77048;90703;publish;33.85608;-118.06832;6540926.8547053;1770011.67219573
157254921;-118.066200056897216;33.835479967830075;Education;Public Elementary Schools;;ABC Unified;Melbourne (Ella P.) Elementary School;21314 Claretta Avenue;;Lakewood;CA;77049;90715;publish;33.83548;-118.0662;6541565.59686613;1762514.37977564
157254922;-118.067360056404084;33.823089967615111;Education;Public Elementary Schools;;ABC Unified;Hawaiian Elementary School;12350 East 226th Street;;Hawaiian Gardens;CA;77050;90716;publish;33.82309;-118.06736;6541210.2872093;1758005.57055181
157254923;-118.070660057041337;33.872189967688136;Education;Public Elementary Schools;;ABC Unified;Kennedy (John F.) Elementary School;17500 Belshire Avenue;;Artesia;CA;77051;90701;publish;33.87219;-118.07066;6540220.49949072;1775874.98855306
