OBJECTID;X;Y;Name;post_id;latitude;longitude;POINT_X;POINT_Y
157210085;-118.543141555874072;34.38083106637454;Old Orchard Shopping Center;23785;34.3808311;-118.5431415;6397793.10750881;1961414.68374589
157210086;-118.56119755588648;34.420551765947344;River Oaks Shopping Center;23786;34.4205518;-118.5611975;6392425.99193072;1975899.5445399
157210088;-118.455360956458833;34.415829566448146;Sierra Plaza Shopping Center;23789;34.4158296;-118.4553609;6424335.86085364;1974019.66083248
157210089;-118.467028056316892;34.415274066126123;The Knoll Shopping Center;23790;34.4152741;-118.467028;6420816.21041264;1973833.64972156
157210090;-118.557030756421128;34.415274165960263;Valencia Mall Shopping Center;23791;34.4152742;-118.5570307;6393671.94711597;1973971.9578439
157210091;-118.543141355773287;34.421662766085831;Valencia Mart Shopping Center;23792;34.4216628;-118.5431413;6397873.4597103;1976273.94175698
157210092;-118.530363156089379;34.434162265908455;Bouquet Canyon Square Shopping Center;23794;34.4341623;-118.5303631;6401750.98706022;1980802.1272544
157210093;-118.473694956752254;34.417218365756298;Canyon Center Shopping Center;23795;34.4172184;-118.4736949;6418808.84434864;1974550.62105665
157210094;-118.622310055534626;34.497215165989687;Castaic Shopping Center;23796;34.4972152;-118.62231;6374168.80961314;2003906.96818373
157210095;-118.550919456354336;34.403885765683178;Granary Square Shopping Center;23798;34.4038858;-118.5509194;6395492.35882947;1969817.39266223
157210121;-118.534807856451266;34.427773666479638;Bouquet Center Shopping Center;23826;34.4277737;-118.5348078;6400398.42808555;1978484.31725748
157210129;-118.349795656087764;33.828071467100727;Del Amo Fashion Center;23835;33.8280715;-118.3497956;6455429.31178997;1759996.46683247
157210140;-118.331183655740318;33.791961167150419;Rolling Hills Plaza Shopping Center;23848;33.7919612;-118.3311836;6461038.88816921;1746835.87963665
157210152;-118.355074256358236;33.871126066882333;South Bay Shopping Center;23863;33.8711261;-118.3550742;6453881.43365213;1775670.64677015
157210222;-118.388962655813913;33.799737967419368;Malaga Cove Plaza Shopping Center;23963;33.799738;-118.3889626;6443493.54333872;1749728.94012348
157210223;-118.393132556456948;33.986123466748438;Fox Hills Mall Shopping Center;23964;33.9861235;-118.3931325;6442491.91410838;1817563.46751189
157210224;-118.392854656007344;33.983067966463551;Fox Hills Plaza Shopping Center;23965;33.983068;-118.3928546;6442571.81355488;1816451.18627189
157210225;-118.437856855745622;34.039732167111069;Lamancha Shopping Center;23966;34.0397322;-118.4378568;6429018.77241956;1837128.61637364
157210226;-118.372576356070624;33.978623866807538;Ladera Shopping Center;23967;33.9786239;-118.3725763;6448713.39641605;1814810.48975015
157210227;-118.35618775644356;34.020845167002363;Baldwin Hills Shopping Center;23968;34.0208452;-118.3561877;6453736.48446697;1830157.57946272
