OBJECTID;X;Y;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157192127;-118.063873056275369;33.867226967752281;City Of Cerritos;18125 S. Bloomfield Ave.;Cerritos;2869;90703;33.867227;-118.063873;6542279.64071363;1774067.45312615
157192171;-117.716532058004034;34.095725967122071;City Of Claremont;207 Harvard Ave.;Claremont;2905;91711;34.095726;-117.716532;6647491.4880323;1857337.94012815
157192236;-118.307890056336518;34.181819966204401;City Of Burbank;275 E. Olive Ave.;Burbank;2967;91502;34.18182;-118.30789;6468551.29145147;1888690.72223873
157244526;-118.259746056335345;34.038992967235728;City Of Los Angeles Department Of Public Works - Street Lighting Bureau;1149 S. Broadway;Los Angeles;58455;90015;34.038993;-118.259746;6482977.73766413;1836672.36564572
157244528;-118.259746056335345;34.038992967235728;City Of Los Angeles Department Of Public Works - Bureau Of Street Services;1149 S. Broadway St.;Los Angeles;58456;90015;34.038993;-118.259746;6482977.73766413;1836672.36564572
157245043;-118.057863056986264;34.161592966902006;City Of Sierra Madre;232 W. Sierra Madre Blvd.;Sierra Madre;;;;;;
157245050;-118.152161056688811;34.116264967137027;City Of South Pasadena;1414 Mission St.;South Pasadena;;;;;;
157245222;-118.243397056768472;34.051981967009247;California State Department Of Transportation - Los Angeles And Ventura Counties;100 S. Main St.;Los Angeles;;;;;;
157245227;-118.243397156499341;34.051981996558737;City Of Los Angeles Department Of Transportation;100 S Main St;Los Angeles;59055;90012;34.05198203;-118.2433971;6487942.23265639;1841386.91756831
157245285;-118.148608056364509;34.085610967261765;Los Angeles County Department Of Public Works;900 S. Fremont Ave.;Alhambra;59108;91803;34.085611;-118.148608;6516673.12926272;1853569.14451614
157246889;-118.195582156486509;33.768134057162406;City Of Long Beach Department Of Public Works;333 W Ocean Blvd;Long Beach;60650;90802;33.76813409;-118.1955821;6502224.99772596;1738056.57501681
157247296;-118.395051055552642;34.021421967271095;City Of Culver City;9770 Culver Blvd.;Culver City;61005;90232;34.021422;-118.395051;6441960.80854331;1830411.49398114
157247551;-118.331005055466449;33.336113967733844;City Of Avalon;410 Avalon Canyon Rd.;Avalon;61290;90704;33.336114;-118.331005;6460546.8461743;1580934.63499622
157247559;-117.960124057377556;34.085230966897804;City Of Baldwin Park;14403 E. Pacific Ave.;Baldwin Park;61292;91706;34.085231;-117.960124;6573744.4898573;1853399.9903269
157247566;-118.150414056089048;33.967194967426806;City Of Bell Gardens;7100 S. Garfield Ave.;Bell Gardens;61293;90201;33.967195;-118.150414;6516061.80502605;1810476.05550565
157247573;-118.122112056798201;33.883524967724846;City Of Bellflower;16600 Civic Center Dr.;Bellflower;;;;;;
