OBJECTID;X;Y;org_name;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157248973;-118.393686755411593;33.319473768024366;Catalina Island Chamber of Commerce;Silver Canyon Landing;;;23894;;33.3194738;-118.3936867;6441373.67848396;1574947.32774514
157248976;-118.581193454782465;33.451692767521287;Catalina Island Chamber of Commerce;Spring Landing;;;23870;;33.4516928;-118.5811934;6384357.06876414;1623346.21388681
157248979;-118.370046671805156;33.394221735992431;Catalina Island Chamber of Commerce;Whites Landing;;;23895;;33.39422177;-118.37004662;6448697.36659247;1602124.83933489
157248982;-118.311166818078149;33.335888583956439;Catalina Island Chamber of Commerce;Pebbly Beach;;;23648;;33.33588862;-118.31116676;6466607.24186188;1580833.24510714
157248985;-118.566008860657433;33.473629846662412;Catalina Island Chamber of Commerce;Lorenzo Beach;;;25449;;33.47362988;-118.56600881;6389034.56498656;1631303.62710582
157248988;-118.481454904548357;33.368133460895919;Catalina Island Chamber of Commerce;Ben Weston Beach;;;25383;;33.36813349;-118.48145485;6414639.86416955;1592774.02601556
157248991;-118.348921592085517;33.370346610401072;Catalina Island Chamber of Commerce;Gallagher Beach;;;26418;;33.37034664;-118.34892154;6455116.53485647;1593412.33510639
157248994;-118.329829629217784;33.353701814800814;Catalina Island Chamber of Commerce;Hamilton Beach;;;26436;;33.35370185;-118.32982957;6460926.94712013;1587334.68125123
157248998;-118.550730999077246;33.472837825680301;Catalina Island Chamber of Commerce;Parsons Landing;;;25400;;33.47283786;-118.55073094;6393692.76958089;1630989.49190731
157249001;-118.531134780020565;33.468814963393051;Catalina Island Chamber of Commerce;Johnsons Landing;;;25408;;33.468815;-118.53113472;6399661.98828547;1629493.23374498
157249004;-118.369081075653071;33.405023859289159;Catalina Island Chamber of Commerce;Button Shell Beach;;;26450;;33.40502389;-118.36908102;6449006.59136772;1606055.20811456
157249007;-118.116176156551475;33.760295067825687;Marina Pacifica;Marina Pacifica;;;24164;;33.7602951;-118.1161761;6526356.39172031;1735166.31472123
